"DownloadSpeed","UploadSpeed","PacketLoss","ISP","ExternalIPSum","UsedServer","Jitter","Latency","Timestamp"
"381.8325","35.7755","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","14","22","12/26/2020 00:07:38"
"384.3114","36.6656","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","16","12/26/2020 00:28:01"
"385.2623","36.7157","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","3","15","12/26/2020 00:33:42"
"384.1259","36.4384","0","Virgin Media","306","speed.custdc.net","5","14","12/26/2020 00:53:20"
"383.2844","36.5739","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","16","12/26/2020 01:13:07"
"383.3236","36.6233","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/26/2020 01:23:00"
"383.6911","36.5875","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","4","15","12/26/2020 01:40:27"
"382.6371","36.7137","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/26/2020 01:51:31"
"384.1409","36.5661","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/26/2020 02:09:07"
"383.226","36.5733","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/26/2020 02:15:35"
"380.4005","36.5654","0","Virgin Media","306","basl-speedtest-1.server.virginmedia.net","1","16","12/26/2020 02:39:25"
"383.3197","36.5526","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/26/2020 02:52:09"
"383.4096","36.6853","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","4","15","12/26/2020 03:07:20"
"384.59","36.7189","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","0","15","12/26/2020 03:18:29"
"383.7997","36.6039","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","14","12/26/2020 03:37:40"
"383.5177","36.5481","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","5","14","12/26/2020 03:52:57"
"382.7361","36.684","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","5","16","12/26/2020 04:12:11"
"383.4405","36.7386","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","16","12/26/2020 04:16:42"
"384.848","36.5894","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","14","12/26/2020 04:39:31"
"380.8708","36.5904","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","4","15","12/26/2020 04:52:02"
"384.7009","36.5918","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","14","12/26/2020 05:07:55"
"385.2858","36.6237","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","5","15","12/26/2020 05:22:57"
"385.0588","36.5901","0","Virgin Media","306","speed.custdc.net","1","16","12/26/2020 05:42:39"
"383.9782","36.5783","0","Virgin Media","306","speed.custdc.net","2","16","12/26/2020 05:53:02"
"383.7213","36.5682","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","0","16","12/26/2020 06:04:17"
"384.2303","36.5344","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/26/2020 06:16:21"
"383.5565","36.6176","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","14","12/26/2020 06:30:53"
"384.1751","36.6089","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","14","12/26/2020 06:59:09"
"384.0902","36.6275","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/26/2020 07:07:57"
"383.876","36.6048","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","0","16","12/26/2020 07:26:05"
"383.6544","36.5992","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","3","14","12/26/2020 07:42:33"
"384.5199","35.3487","0","Virgin Media","306","speed.custdc.net","5","15","12/26/2020 07:54:48"
"357.3381","36.6279","0","Virgin Media","306","basl-speedtest-1.server.virginmedia.net","4","16","12/26/2020 08:02:20"
"384.5369","36.5882","0","Virgin Media","306","speed.custdc.net","1","15","12/26/2020 08:24:29"
"383.5383","36.5755","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","16","12/26/2020 08:37:12"
"383.8945","36.6036","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","4","15","12/26/2020 08:54:49"
"384.5122","36.6335","0","Virgin Media","306","speed.custdc.net","1","16","12/26/2020 09:02:11"
"381.982","36.6471","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/26/2020 09:15:36"
"382.8026","36.5796","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","4","14","12/26/2020 09:41:22"
"382.8805","36.5739","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/26/2020 09:47:31"
"384.2892","36.581","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/26/2020 10:01:13"
"384.584","36.599","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/26/2020 10:27:50"
"382.7659","36.5847","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","14","12/26/2020 10:32:23"
"384.0762","36.5961","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","0","16","12/26/2020 10:47:14"
"382.8081","36.5836","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","16","12/26/2020 11:11:40"
"383.1701","36.6408","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/26/2020 11:27:06"
"383.4493","36.6449","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","15","12/26/2020 11:30:54"
"383.1598","36.4951","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/26/2020 11:45:28"
"383.8202","36.5577","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/26/2020 12:11:42"
"384.4397","36.6655","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","16","12/26/2020 12:28:32"
"384.2993","36.5421","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/26/2020 12:36:43"
"382.6821","36.5688","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","16","12/26/2020 12:56:40"
"382.5369","36.5079","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","15","12/26/2020 13:06:25"
"381.952","36.5722","0","Virgin Media","306","basl-speedtest-1.server.virginmedia.net","3","17","12/26/2020 13:27:27"
"382.4576","36.586","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","16","12/26/2020 13:41:10"
"384.9715","36.564","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/26/2020 13:57:18"
"384.3675","36.5942","0","Virgin Media","306","speed.custdc.net","1","16","12/26/2020 14:08:48"
"380.0919","36.3235","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","3","15","12/26/2020 14:21:04"
"383.485","36.5541","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","3","14","12/26/2020 14:36:12"
"383.819","36.5963","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/26/2020 14:56:39"
"383.0489","36.5804","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","3","15","12/26/2020 15:04:58"
"383.4296","36.4935","0","Virgin Media","306","speed.custdc.net","1","15","12/26/2020 15:18:13"
"384.5827","36.5905","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","5","15","12/26/2020 15:38:07"
"383.383","36.5968","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","6","16","12/26/2020 15:45:49"
"383.5248","36.5714","0","Virgin Media","306","speed.custdc.net","3","15","12/26/2020 16:04:00"
"382.2618","36.5195","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","16","12/26/2020 16:22:31"
"382.9438","36.5952","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","15","12/26/2020 16:33:21"
"381.9884","36.4535","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","0","15","12/26/2020 16:57:56"
"383.1367","36.5751","0","Virgin Media","306","speed.custdc.net","4","15","12/26/2020 17:08:33"
"384.2284","36.5596","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","16","12/26/2020 17:17:13"
"383.5623","36.5986","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","5","17","12/26/2020 17:41:16"
"383.3931","36.4777","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/26/2020 17:47:23"
"383.5025","36.6186","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","3","16","12/26/2020 18:10:57"
"382.2443","36.7505","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","3","14","12/26/2020 18:15:34"
"384.1925","36.6279","0","Virgin Media","306","speed.custdc.net","1","15","12/26/2020 18:41:08"
"382.8974","36.5154","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/26/2020 18:51:27"
"383.2823","36.5864","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/26/2020 19:00:47"
"383.1503","36.5478","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","4","15","12/26/2020 19:23:02"
"382.7681","36.6018","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","15","12/26/2020 19:34:37"
"383.759","36.4544","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","15","12/26/2020 19:50:22"
"382.6345","36.5873","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","3","15","12/26/2020 20:13:27"
"383.288","36.6063","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/26/2020 20:25:52"
"382.2622","36.5855","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/26/2020 20:37:07"
"383.5335","36.5914","0","Virgin Media","306","speed.custdc.net","2","15","12/26/2020 20:46:08"
"382.6178","36.6275","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","0","16","12/26/2020 21:11:07"
"382.9418","36.4893","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/26/2020 21:20:33"
"383.8222","36.6839","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","0","16","12/26/2020 21:33:38"
"384.0242","36.1888","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","3","14","12/26/2020 21:59:08"
"382.3001","36.6056","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","15","12/26/2020 22:11:49"
"382.6483","36.6073","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","3","15","12/26/2020 22:27:06"
"382.8982","36.6002","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/26/2020 22:34:37"
"383.2602","36.5709","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","15","12/26/2020 22:56:13"
"382.9425","36.7378","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","4","15","12/26/2020 23:08:45"
"383.0574","36.6159","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","0","16","12/26/2020 23:22:27"
"382.4586","36.593","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","5","14","12/26/2020 23:39:41"
"369.8319","36.5874","0","Virgin Media","306","basl-speedtest-1.server.virginmedia.net","1","16","12/26/2020 23:51:57"
