"DownloadSpeed","UploadSpeed","PacketLoss","ISP","ExternalIPSum","UsedServer","Jitter","Latency","Timestamp"
"50.5766","18.5864","0","BT","561","speedtestmera.vs.mythic-beasts.com","1","8","2020-11-26T09:33:56Z"
"54.6862","18.5309","0","BT","561","speedtestmera.vs.mythic-beasts.com","90","8","2020-11-26T09:35:37Z"
"56.0647","18.7932","0","BT","561","speedtestmera.vs.mythic-beasts.com","0","7","2020-11-26T09:36:26Z"
"56.0248","18.7015","0","BT","561","speedtestmera.vs.mythic-beasts.com","0","8","2020-11-26T09:37:58Z"
"55.0126","18.697","0","BT","561","speedtestmera.vs.mythic-beasts.com","270","9","2020-11-26T09:39:18Z"
"382.9849","36.6246","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","3","14","2020-11-28T01:17:43Z"
"383.4163","36.5808","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","0","16","2020-11-28T01:41:23Z"
"384.59","36.6053","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","0","16","2020-11-28T08:56:43Z"
"382.8506","36.4586","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","3","16","2020-11-28T09:00:18Z"
"383.2681","36.6042","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","16","2020-11-28T09:15:23Z"
"382.5672","36.5901","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","14","2020-11-28T09:30:21Z"
"382.4698","36.6031","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","2020-11-28T09:45:21Z"
"383.7636","36.684","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","0","16","2020-11-28T10:00:19Z"
"381.9459","36.6015","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","2020-11-28T10:15:23Z"
"381.4039","36.5966","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","2020-11-28T10:30:19Z"
"379.9708","36.4723","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","4","15","2020-11-28T10:45:22Z"
"382.7882","36.619","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","15","2020-11-28T11:00:22Z"
"384.394","36.586","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","4","16","2020-11-28T11:15:22Z"
"382.5533","36.587","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","3","15","2020-11-28T11:30:27Z"
"382.597","36.5985","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","16","2020-11-28T11:45:19Z"
"382.674","36.5681","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","15","2020-11-28T12:00:20Z"
"383.2032","36.5656","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","4","15","2020-11-28T12:15:19Z"
"383.0163","36.576","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","0","16","2020-11-28T12:30:20Z"
"383.0151","36.5819","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","16","2020-11-28T12:45:19Z"
"381.9009","36.5662","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","3","16","2020-11-28T13:00:22Z"
"383.0662","36.5907","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","14","2020-11-28T13:15:19Z"
